Symptom_CUI	Symptom_Name	Alias	Definition	External_Ids
C2128879	Bone pain of left thumb	bone pain of left thumb|bone pain of left thumb (symptom)|bone pain, left thumb		
C2202995	Left arm weakness	Monoparesis of left arm|Weakness of left arm|Weakness of left arm (disorder)|left arm weakness|weakness in left arm|weakness in left arm (symptom)|weakness of left arm|weakness of left arm (physical finding)		SNOMEDCT_US_2016_09_01:15633401000119107
C2036544	Stuttering interfering with social interaction	stuttering interfering with social interaction|stuttering interfering with social interaction (symptom)		
C0751077	Diplopia, horizontal	Diplopia, Horizontal|Diplopias, Horizontal|Horizontal Diplopia|Horizontal Diplopias|double vision when moving eyes horizontally|horizontal diplopia|horizontal diplopia (symptom)|seeing double images horizontally		MSH2017_2016_08_12:D004172
C0744156	Foot pain subjective plantar aspect	FOOT PAIN SUBJECTIVE PLANTAR ASPECT		
C2108903	Wrist joint pain triggered by innocuous stimulus	wrist joint pain triggered by innocuous stimulus|wrist pain triggered by innocuous stimulus|wrist pain triggered by innocuous stimulus (symptom)		
C2030473	Hemiplegia not affecting right side of face	hemiplegia not affecting right side of face|hemiplegia not affecting right side of face (symptom)|hemiplegia not affecting the face right side|right-sided hemiparalysis not affecting the face|right-sided hemiplegia not affecting the face		
C2199006	Drags one foot when walking	drags one foot when walking|drags one foot when walking (symptom)|drags one foot when walking as symptom		
C1698573	Aspiration site pain	Aspiration site pain		
C2017027	Soft tissue pain of middle finger of right hand	soft tissue pain of middle finger of right hand|soft tissue pain of middle finger of right hand (symptom)		
C2233387	Skin rash of right upper outer breast	skin rash of right upper outer breast|skin rash of right upper outer breast (symptom)		
C2232203	Skin crust of anterior aspect of both thighs	skin crust of anterior aspect of both thighs|skin crust of anterior aspect of both thighs (symptom)		
C3863915	Complications amputation stump pain of lower extremity	complications amputation stump pain of lower extremity|complications amputation stump pain of lower extremity (diagnosis)		
C3862404	Severe muscle pain	severe muscle pain|severe muscle pain (symptom)		
C2047433	Hyperemesis gravidarum in second half of pregnancy as antepartum condition	hyperemesis gravidarum in second half of pregnancy as antepartum condition|hyperemesis gravidarum in second half of pregnancy as antepartum condition (diagnosis)|hyperemesis gravidarum in second half of pregnancy delivered antepartum condition or prior complication		
C2126951	Foggy vision clears with blinking or rubbing of eyes	foggy vision clears with blinking or rubbing of eyes|foggy vision clears with blinking or rubbing of eyes (symptom)|foggy vision goes away with blinking or rubbing eyes		
C2080644	Periodic flashing lights peripherally	periodic flashing lights peripherally|peripheral photopsia|photopsia in peripheral field of vision|photopsia in peripheral field of vision (symptom)		
C0858599	Sour taste	Sour taste|Taste sour|sour taste|taste sour		
C2130155	Dorsal right hand pain over second metacarpal	dorsal right hand pain over second metacarpal|dorsal right hand pain over second metacarpal (symptom)|dorsal right hand pain over the second metacarpal		
C0018989	Paresis of one side of body	HEMIPARESIS|Hemipareses|Hemiparesis|Hemiparesis (disorder)|Hemiparesis (weakness on one side)|Unilateral paresis|Unilateral paresis (finding)|Unilateral paresis (situation)|Weakness of one side of body|body one side weakness|hemipareses|hemiparesis|hemiparesis (physical finding)|hemiparesis was seen|paresis of one side of body|paresis unilateral	HPO2016_07_04:Loss of strength in the arm, leg, and sometimes face on one side of the body. Hemiplegia refers to a complete loss of strength, whereas hemiparesis refers to an incomplete loss of strength. [HPO:probinson, UKB:tklockgether]|NCI2016_02D:Weakness or incomplete paralysis of either the left or right side of the body.|NCI2016_NICHD_1602D:Weakness or incomplete paralysis of either the left or right side of the body.|	HPO2016_07_04:HP:0001269|MSH2017_2016_08_12:D010291|OMIM2016_04_17:MTHU000543|SNOMEDCT_US_2016_09_01:127377003|SNOMEDCT_US_2016_09_01:155029008|SNOMEDCT_US_2016_09_01:192941004|SNOMEDCT_US_2016_09_01:20022000|SO:SYMP_0000293
C2129451	Midback pain in midline unchanged with movement	midback pain in midline unchanged with movement|midback pain in midline unchanged with movement (symptom)|midline midback pain unchanged with movement		
C2128900	Increase in size of finger joint	increase in size of finger joint|increase in size of finger joint (symptom)		
C2017237	Left leg soft tissue swelling with black and blue discoloration	left leg soft tissue swelling with black and blue discoloration|soft tissue swelling L (lower) leg w/ black & blue discolor|soft tissue swelling of left lower leg with black and blue discoloration|soft tissue swelling of left lower leg with black and blue discoloration (symptom)		
C1735639	Metastatic pain worsened	Metastatic pain worsened		
C2233557	Epistaxis after blood-thinning medication	epistaxis after blood-thinning medication|nosebleeds after blood-thinning medication|nosebleeds after blood-thinning medication (symptom)		
C2032593	Shooting pain on bottom of right foot	shooting pain on bottom of right foot|shooting pain on bottom of right foot (symptom)|shooting plantar right foot pain		
C2364111	Gustatory anesthesia	AGEUSIA|Absence of sense of taste|Ageusia|Ageusia [Disease/Finding]|Ageustia|Gustatory anaesthesia|Gustatory anesthesia|Loss (of);taste|Loss of taste|Loss of taste (& symptom)|Loss of taste (& symptom) (finding)|Loss of taste (finding)|Loss of taste sense|TASTE ABSENT|TASTE LOSS|Taste absent|Taste loss|Taste loss symptom|Unable (to);taste|ageusia|gustatory anesthesia|loss of sense taste|loss of taste|loss taste|loss; taste|taste loss|taste; loss|unable to taste	MSH2017_2016_08_12:Complete or severe loss of the subjective sense of taste, frequently accompanied by OLFACTION DISORDERS.|NCI2016_02D:Inability to taste.|NCI2016_NICHD_1602D:Inability to taste.|	MSH2017_2016_08_12:D000370|OMIM2016_04_17:MTHU001814|SNOMEDCT_US_2016_09_01:139277004|SNOMEDCT_US_2016_09_01:162012003|SNOMEDCT_US_2016_09_01:267164004|SNOMEDCT_US_2016_09_01:36955009
C0549373	Laryngeal pain	LARYNGEAL PAIN|LARYNX PAIN|Laryngeal pain|Larynx pain|larynx pain		
C2116453	Tingling of thumb and index finger of right hand	tingling of thumb and index finger of right hand|tingling of thumb and index finger of right hand (symptom)		
C2077896	Inability to express anger	inability to express anger|unable to express anger|unable to express anger (symptom)		
C2017081	Plantar right forefoot pain increases with activity	plantar right forefoot pain increases with activity|right forefoot pain on bottom increases with activity|soft tissue pain on bottom of right forefoot worse with activity|soft tissue pain on bottom of right forefoot worse with activity (symptom)		
C4273018	Convulsions triggering uncontrollable laughter	convulsions triggering uncontrollable laughter|convulsions triggering uncontrollable laughter (symptom)		
C3665798	Genitals enlarged	Genitals enlarged		
C2037180	Sudden onset of cold index finger of right hand	sudden onset of cold index finger of right hand|sudden onset of cold index finger of right hand (symptom)		
C2109041	Ankle joint stiffness upon arising	ankle joint stiffness upon arising|ankle stiffness upon arising|ankle stiffness upon arising (symptom)		
C2129276	Bilateral muscle spasms in the midback	bilateral muscle spasms in the midback|muscle spasm in midback on both sides|muscle spasm in midback on both sides (symptom)		
C2127639	Right hip joint feels like it may slip out of place	right hip joint feels like it may slip out of place|right hip joint feels like it may slip out of place (symptom)		
C2017025	Soft tissue pain of middle phalanx of little finger of right hand	soft tissue pain of middle phalanx of little finger of right hand|soft tissue pain of middle phalanx of little finger of right hand (symptom)		
C0235018	Numbness localized	Localised numbness|Localized numbness|NUMBNESS LOCALIZED|Numbness localised|Numbness localized		
C0458237	Arthralgia of interphalangeal joint of toe	Arthralgia of interphalangeal joint of toe|Interphalangeal joint of toe pain|Interphalangeal joint of toe pain (finding)		SNOMEDCT_US_2016_09_01:202497007
C2032988	Palpitations 2-3 hours after eating	palpitations 2-3 hours after eating|palpitations occurring 2-3 hours after eating|palpitations occurring 2-3 hours after eating (symptom)		
C2032269	Pain in right middle toe metatarsophalangeal joint	pain in right middle toe metatarsophalangeal joint|pain in right middle toe metatarsophalangeal joint (symptom)|right third MTP pain		
C2110924	Labor pains at term	labor pains at term|labor pains at term (symptom)		
C2116379	Tingling of back of left arm	tingling of back of left arm|tingling of back of left arm (symptom)		
C0473137	Congenital faecal incontinence	Congenital faecal incontinence|Congenital fecal incontinence|Congenital fecal incontinence (finding)		SNOMEDCT_US_2016_09_01:236081008
C0476273	Distress respiratory	DISTRESS RESPIRATORY|Distress respiratory|Distress, Respiratory|Distressed breathing|Distressed respiration|RESPIRATORY DISTRESS|Respiratory Distress|Respiratory distress|Respiratory distress (finding)|[D]Respiratory distress|[D]Respiratory distress (context-dependent category)|[D]Respiratory distress (situation)|distress; respiratory|distressed breathing|distressed respirations|distressed respirations (diagnosis)|distressed respiratory|respiratory distress|respiratory; distress	HPO2016_07_04:Difficulty in breathing. The physical presentation of respiratory distress is generally referred to as labored breathing, while the sensation of respiratory distress is called shortness of breath or dyspnea. []|NCI2016_02D:A pathological increase in the effort and frequency of breathing movements.|NCI2016_NICHD_1602D:Increased work of breathing with tachypnea and retractions.|	HPO2016_07_04:HP:0002098|OMIM2016_04_17:MTHU001649|SNOMEDCT_US_2016_09_01:158377004|SNOMEDCT_US_2016_09_01:207055003|SNOMEDCT_US_2016_09_01:271825005
C2127729	Left thumb intermittently 'locks up'	left thumb intermittently 'locks up'|left thumb intermittently 'locks up' (symptom)|the left thumb intermittently 'locks up'		
C2875361	Other acute postprocedural pain	Other acute postprocedural pain		ICD10CM_2017:G89.18
C2073303	Chest pain localizing to right posterior chest wall	chest pain localizing to right posterior chest wall|chest pain localizing to right posterior chest wall (symptom)|chest pain localizing to the right chest wall posteriorly		
C2020353	Middle back stiffness	middle back stiffness|stiffness of mid back|stiffness of mid back (symptom)		
C2016971	Soft tissue pain in medial aspect of right great toe	soft tissue pain in medial aspect of right great toe|soft tissue pain in medial aspect of right great toe (symptom)|soft tissue pain in right great toe medial aspect|soft tissue pain in the medial right great toe		
C2016938	Pain immediately below posteromedial left knee	pain immediately below posteromedial left knee|soft tissue pain immediately below posteromedial aspect of left knee|soft tissue pain immediately below posteromedial aspect of left knee (symptom)		
C0239589	Finger pain	FINGER PAIN|Finger pain|Finger pain (finding)|Pain in finger|Pain in finger (finding)|Pain in fingers|Pain;finger(s)|Pain;musculoskeletal;finger(s)|finger pain|fingers pain|limb pain finger|musculoskeletal finger pain|pain finger|pain fingers|pain in finger|pain in finger (diagnosis)|pain in fingers	HPO2016_07_04:An unpleasant sensation characterized by physical discomfort (such as pricking, throbbing, or aching) localized to the finger. [UToronto:chum]|	HPO2016_07_04:HP:0030837|SNOMEDCT_US_2016_09_01:18876004|SNOMEDCT_US_2016_09_01:203125007|SNOMEDCT_US_2016_09_01:275317007
C2128237	Numbness of lower lip	numbness of lower lip|numbness of lower lip (symptom)		
C0458959	Peripheral neurogenic pain	Peripheral neurogenic pain|Peripheral neurogenic pain (finding)		SNOMEDCT_US_2016_09_01:279980002
C2130282	Feet insensitive to temperature	feet insensitive to temperature|feet insensitive to temperature (symptom)|the feet are insensitive to temperature		
C2219784	Numbness of back of left thigh	numbness of back of left thigh|numbness of back of left thigh (symptom)		
C0858721	Twitching cervical	Twitching cervical		
C0578049	Pain of lymphoreticular structure	Pain of lymphoreticular structure|Pain of lymphoreticular structure (finding)		SNOMEDCT_US_2016_09_01:301359009
C2129616	Lower back pain worsens when sleeping on back	lower back pain worsens when sleeping on back|lower back pain worsens when sleeping on back (symptom)		
C2108899	Non-localizing wrist pain	non-localizing wrist pain|wrist joint pain difficult to localize|wrist pain difficult to localize|wrist pain difficult to localize (symptom)		
C2037132	Sudden loss of part of vision	sudden loss of part of vision|sudden loss of vision in part of visual field|sudden loss of vision in part of visual field (symptom)|sudden onset of visual field defect|sudden partial loss of vision|visual field defect, sudden onset		
C2702705	Pain which shoots down both arms	pain which shoots down both arms|pain which shoots down both arms (radicular)|pain which shoots down both arms (symptom)		
C2130283	Nasal scotoma	nasal scotoma|scotoma in nasal half of visual field|scotoma in nasal half of visual field (symptom)|scotoma in the nasal field of view		
C0858666	Dull pain stomach	Stomach dull pain of|dull pain stomach|dull stomach pain|stomach dull pain of		
C2229494	Decreased sense of smell on both sides	decreased sense of smell on both sides|decreased sense of smell on both sides (symptom)		
C2017272	Left third toe soft tissue swelling over the proximal phalanx	left third toe soft tissue swelling over the proximal phalanx|soft tissue swelling of left third toe over proximal phalanx|soft tissue swelling of left third toe over proximal phalanx (symptom)		
C2108887	Joint pain in right middle toe worsens	joint pain in right middle toe worsens|joint pain in right middle toe worsens (symptom)|right middle toe joint pain worsens		
C2127434	Bilateral leg paralysis	bilateral leg paralysis|nonmoving limbs affecting both legs|nonmoving limbs affecting both legs (symptom)|unable to move both legs		
C0234952	Spasm oropharyngeal	Oropharyngeal spasm|SPASM OROPHARYNGEAL|Spasm oropharyngeal		
C2220023	Feel restless	Feel Restless|Feel restless|I feel restless as if I have to be on the move|feeling restless|feeling restless (symptom)	NCI2016_02D:A question about whether an individual feels or has felt restless.|	
C4084775	Usual severity weight loss	Usual Severity Weight Loss|Weight loss	NCI2016_02D:A question about the usual severity of an individual's weight loss.|	SO:SYMP_0000476|SO:SYMP_0000178|CSSO:CSSO_000244
C2219984	Skin stretch marks occurred after pregnancy	skin stretch marks occurred after pregnancy|skin stretch marks occurred after pregnancy (symptom)		
C0231711	Clown's gait	Clown's gait|Clown's gait (finding)		SNOMEDCT_US_2016_09_01:271706000|SNOMEDCT_US_2016_09_01:80043007
C0008035	Chest wall pain	CHEST WALL PAIN|Chest Wall Pain|Chest wall pain|Chest wall pain (finding)|Musculoskeletal Chest Pain|chest pain localizing to chest wall|chest pain localizing to chest wall (symptom)|chest pain localizing to the chest wall|chest pain wall|chest pains wall|chest wall pain|pain chest wall|wall chest pain	NCI2016_02D:Painful sensation in the chest wall region.|NCI2016_CTCAE_1602D:A disorder characterized by marked discomfort sensation in the chest wall region.|NCI2016_NICHD_1602D:Pain that originates in the bones, muscles, tendons, or ligaments in the chest.|	SNOMEDCT_US_2016_09_01:102588006|SNOMEDCT_US_2016_09_01:366958004|SNOMEDCT_US_2016_09_01:367183005
C2029729	Headache is preceded by anxiety	headache is preceded by anxiety|headache preceded by anxiety|headache preceded by anxiety (symptom)		
C0234252	Mechanical pain	Mechanical pain|Mechanical pain (finding)|mechanical pain|pain mechanical		SNOMEDCT_US_2016_09_01:9626006
C2127765	Left ring finger 'catches' during movement	left ring finger 'catches' during movement|left ring finger 'catches' during movement (symptom)|the left ring finger 'catches' during movement		
C2127477	Unable to straighten right elbow	unable to straighten right elbow|unable to straighten right elbow (symptom)		
C3251821	Reaction catatonic	CATATONIC REACTION|CATATONIC STATE|Catatonic reaction|Catatonic reaction (finding)|Catatonic reaction, NOS|REACTION CATATONIC|Reaction catatonic		SNOMEDCT_US_2016_09_01:102909009
C3468370	Constipation self-treated with enema	constipation self-treated with enema|constipation self-treated with enema (symptom)		
C2129529	Forearm muscles decreasing in size	forearm muscles decreasing in size|forearm muscles decreasing in size (symptom)		
C2106395	Cold little finger of right hand	cold little finger of right hand|cold little finger of right hand (symptom)		
C0744942	Hip pain new onset	HIP PAIN NEW ONSET		
C2048809	Increase in hair growth on top of foot	increase in hair growth on top of foot|increase in hair growth on top of foot (symptom)		
C0497337	Other breathing problems	Breathing problem other|Other breathing problems		
C2108741	Joint pain in left little toe worsens while running	joint pain in left little toe worsens while running|joint pain in left little toe worsens while running (symptom)|left little toe joint pain worse while running		
C2126956	White or light spots in field of vision	white / light spots in field of vision|white or light spots in field of vision|white or light spots in field of vision (symptom)|white/light spots in the field of vision		
C2126207	Elbow joint pain when passively moved	elbow joint pain when passively moved|elbow joint pain when passively moved (symptom)		
C2020448	Stool retention with overflow	stool retention with overflow|stool retention with overflow (symptom)		
C2165501	Depressed fetal heart sounds	depressed fetal heart sounds|depressed fetal heart sounds (diagnosis)		
C2032273	Pain in metacarpophalangeal joint of ring finger of right hand	pain in metacarpophalangeal joint of ring finger of right hand|pain in metacarpophalangeal joint of ring finger of right hand (symptom)|right fourth MCP pain		
C2130130	Lower back pain unchanged before storms	lower back pain unchanged before storms|lower back pain unchanged before storms (symptom)		
C2198901	Dizziness while using hands or arms	dizziness while using hands or arms|dizziness while using hands or arms (symptom)		
C1321587	Breath deep	BREATHING ABNORMALLY DEEP|Breathing abnormally deep|Excessively deep breathing|Excessively deep breathing (finding)|Excessively deep breathing [Ambiguous]|RESPIRATORY DEPTH INCREASED|Respiratory depth increased|breath deep|breathing deep|breaths deep|deep breath|deep breathing		SNOMEDCT_US_2016_09_01:181893002|SNOMEDCT_US_2016_09_01:271627000
C2747921	Malodorous diarrhea	Malodorous diarrhea|Malodourous diarrhea|Malodourous diarrhoea		
C2233614	Flank pain lessened by applying heat	flank pain lessened by applying heat|flank pain lessened by applying heat (symptom)|flank pain relieved by applying heat		
C2037179	Sudden onset of cold right hand	sudden onset of cold right hand|sudden onset of cold right hand (symptom)		
C2032906	Pain in the right palm at the proximal (a1) pulley	pain in the right palm at the proximal (A1) pulley|palmar pain at proximal (A1) pulley of right hand|palmar pain at proximal (A1) pulley of right hand (symptom)		
C0233759	Elementary hallucination	Elementary Hallucination|Elementary Hallucinations|Elementary hallucination|Elementary hallucination (finding)|Hallucination, Elementary|Hallucinations, Elementary		MSH2017_2016_08_12:D006212|SNOMEDCT_US_2016_09_01:61199005
C2232035	Skin crust on anterior surface of left forearm	skin crust on anterior surface of left forearm|skin crust on anterior surface of left forearm (symptom)		
C0231912	Cough, nocturnal	Cough, nocturnal|Cough;nocturnal|Nocturnal cough|Nocturnal cough (finding)|cough during night|cough during night (symptom)|nocturnal cough|nocturnal coughing		SNOMEDCT_US_2016_09_01:62548007
C0522071	Pain pancreatic	Pancreatalgia|Pancreatic pain|Pancreatic pain (finding)|pain pancreatic|pancreatic pain		SNOMEDCT_US_2016_09_01:102631004
C2052724	Penile lesion began as small inflamed pimple	penile lesion began as small inflamed pimple|penile lesion began as small inflamed pimple (symptom)		
C2034377	Baby cries a lot	baby cries a lot|parental concerns baby cries a lot|parental concerns baby cries a lot (symptom)		
C2128531	Lower back pain worsens with sitting in car	lower back pain worsens with sitting in car|lower back pain worsens with sitting in car (symptom)		
C2127173	Worsening binocular distance and near vision	worsening binocular distance and near vision|worsening distance and near vision binocular|worsening distance and near vision in both eyes|worsening distance and near vision in both eyes (symptom)		
C0242155	Urinary pain	URINARY PAIN|pain urinary|urinary pain		
C2017055	Soft tissue pain l little finger mid phalanx flexor surface	soft tissue pain L little finger mid phalanx flexor surface|soft tissue pain in the left little finger middle phalanx along the flexor surface|soft tissue pain of flexor surface of mid phalanx of little finger of left hand|soft tissue pain of flexor surface of mid phalanx of little finger of left hand (symptom)		
C2219862	Anxiety with tingling in hands and feet	anxiety with tingling in hands and feet|anxiety with tingling in hands and feet (symptom)		
C0262445	Denture irritation	DENTURE IRRITATION		
C2127932	The wrist joint feels loose	the wrist joint feels loose|wrist joint feels loose|wrist joint feels loose (symptom)		
C0740323	Parotid abscess	PAROTID ABSCESS|Parotid abscess|abscess parotid|parotid abscess		SO:SYMP_0000350
C0518937	Alexia or dyslexia	Alexia Or Dyslexia		
C0521654	Motor deficit	Deficit, Neurologic|Deficits, Neurologic|Impairment;neurological|MOTOR DEFICIT|Motor Deficit|Motor Deficits|Motor deficit|Motor deficits|Motor dysfunction|Motor dysfunction (finding)|Motor dysfunction NOS|Motor dysfunction, NOS|NEUROLOGIC DEFICIT|Neurologic Deficit|Neurologic Deficits|Neurologic deficit|Neurologic deficit, NOS|Neurological deficit|Neurological deficit (finding)|Neurological impairment|central deficits nervous system|deficits motor|deficits neurologic|deficits neurological|dysfunction motor|dysfunctions motor|impairments neurological|motor deficit|motor dysfunction|neurologic deficit|neurologic deficits|neurological deficit|neurological impairment	NCI2016_02D:Loss of movement function.|NCI2016_NICHD_1602D:Movement impairment.|	MSH2017_2016_08_12:D009461|OMIM2016_04_17:MTHU024651|OMIM2016_04_17:MTHU041954|SNOMEDCT_US_2016_09_01:264552009|SNOMEDCT_US_2016_09_01:52559000|SNOMEDCT_US_2016_09_01:95639008|CSSO:CSSO_000173
C0235130	Feeling weightless	FEELING WEIGHTLESS|Feeling weightless		
C2127111	Fluctuating hearing loss	fluctuating hearing loss|fluctuating loss of hearing|fluctuating loss of hearing (symptom)		
C0029537	Other chest pain	Other chest pain|[X]Other chest pain|[X]Other chest pain (context-dependent category)|[X]Other chest pain (finding)		ICD10CM_2017:R07.8|ICD10CM_2017:R07.89|ICD9CM_2014:786.59|SNOMEDCT_US_2016_09_01:207583009
C2232251	Skin crust of medial aspect of right foot	skin crust of medial aspect of right foot|skin crust of medial aspect of right foot (symptom)		
C2107758	Constipation is self-treated with finger disimpaction	constipation is self-treated with finger disimpaction|self-treatment for constipation with finger disimpaction|self-treatment for constipation with finger disimpaction (symptom)		
C2128497	Lower back pain worse with straining during bowel movement	lower back pain worse with straining during bowel movement|lower back pain worsens with straining during bowel movement|lower back pain worsens with straining during bowel movement (symptom)		
C0339667	Nystagmus, voluntary	NYSTAGMUS, VOLUNTARY|Voluntary nystagmus|Voluntary nystagmus (disorder)		OMIM2016_04_17:164170|SNOMEDCT_US_2016_09_01:232124002
C0150918	Fever of >=38 c for >5 days	Fever of >=38 C for >5 days		
C0947785	Hypersomnia	Hypersomnia [D]|Insomnia [D]|Sleep disturbances [D]|[D]Sleep disturbances (& [hypersomnia] or [insomnia])|[D]Sleep disturbances (& [hypersomnia] or [insomnia]) (disorder)|[D]Sleep disturbances (& [hypersomnia] or [insomnia]) (situation)		SNOMEDCT_US_2016_09_01:158149000|SNOMEDCT_US_2016_09_01:270961006
C1536051	Mucosal exfoliation	Mucosal exfoliation		
C2128559	Numbness from waist down to knee	numbness from waist down to knee|numbness from waist down to knee (symptom)		
C0839481	Pain in limb, ankle and foot	Pain in limb, ankle and foot		
C0577698	Angina exertional	ANGINA EXERTIONAL|ANGINA OF EFFORT|Angina of effort|Angina on effort|Angina on exercise|Angina, of effort|EFFORT ANGINA|Effort angina|Exercise induced angina|Exercise-induced angina|Exercise-induced angina (disorder)|Exertional angina|angina of effort|angina pectoris exertional|angina pectoris; of effort|effort angina|exercise induced angina|exertional angina|exertional angina pectoris|exertional angina pectoris (diagnosis)|of effort; angina		SNOMEDCT_US_2016_09_01:17828002|SNOMEDCT_US_2016_09_01:194834007|SNOMEDCT_US_2016_09_01:300995000
C0858934	Injection site vascular warmth	Injection site vascular warmth|Injection site warmth		
C2128003	Left middle toe 'catches' during movement	left middle toe 'catches' during movement|left middle toe 'catches' during movement (symptom)|the left middle toe 'catches' during movement		
C2128360	Central dorsal left forefoot pain slowly worsens with decreased level of activity	central dorsal left forefoot pain slowly worsens with decreased level of activity|pain on top of left mid forefoot worse with decreased activity level|pain on top of left mid forefoot worse with decreased activity level (symptom)		
C1960996	Pain radiating to thoracic region right side	Pain radiating to thoracic region right side|Pain radiating to thoracic region right side (finding)		SNOMEDCT_US_2016_09_01:425908001
C2045658	Cyanosis with cold temperature	cyanosis with cold temperature|cyanosis with cold temperature (symptom)		
C2017170	Intermittent soft tissue swelling of left arm	intermittent soft tissue swelling of left arm|intermittent soft tissue swelling of left arm (symptom)		
C2075762	A clicking sensation in the right ring finger	a clicking sensation in the right ring finger|clicking sensation felt in ring finger of right hand|clicking sensation felt in ring finger of right hand (symptom)|clicking sensation in right ring finger		
C2127373	Redness under inner upper eyelid os	redness under inner upper eyelid OS|redness under inner upper eyelid left|redness under medial aspect of left upper eyelid|redness under medial aspect of left upper eyelid (symptom)		
C2017395	Soft tissue swelling of right second toe with red discoloration	soft tissue swelling R second toe w/ red discoloration|soft tissue swelling of right second toe with red discoloration|soft tissue swelling of right second toe with red discoloration (symptom)		
C2317755	Child expresses no interest in other children	child expresses no interest in other children|parental concerns child expresses no interest in other child|parental concerns child expresses no interest in other child (symptom)		
C1658396	Attachment disorder in children	Attachment disorder in children|Disorder;attachment;child|attachment disorder (child)		
C0589386	Nonspecific abdominal pain	Nonspecific abdominal pain|Nonspecific abdominal pain (finding)|[D]Nonspecific abdominal pain|[D]Nonspecific abdominal pain (context-dependent category)|[D]Nonspecific abdominal pain (situation)		SNOMEDCT_US_2016_09_01:207228002|SNOMEDCT_US_2016_09_01:304542004|SNOMEDCT_US_2016_09_01:311813008
C2126169	Sore on right side of mouth	sore on right side of mouth|sore on right side of mouth (symptom)		
C0406569	Extensive congenital erosions, vesicles and reticulate scarring	Extensive congenital erosions, vesicles and reticulate scarring|Extensive congenital erosions, vesicles and reticulate scarring (disorder)		SNOMEDCT_US_2016_09_01:238851009
C2127724	Right ring finger intermittently 'locks up'	right ring finger intermittently 'locks up'|right ring finger intermittently 'locks up' (symptom)|the right ring finger intermittently 'locks up'		
C2032410	Pain at the right nipple	pain at the right nipple|pain in right nipple|pain in right nipple (symptom)		
C2169931	Regurgitation of undigested food	regurgitation of undigested food|regurgitation of undigested food (symptom)		
C0234244	Pain somatic	Pain, Somatic|Pain, Tissue|Pain, somatic|Pains, Somatic|Pains, Tissue|Somatic Pain|Somatic Pains|Somatic pain|Somatic pain (finding)|Tissue Pain|Tissue Pains|pain somatic|somatic pain		MSH2017_2016_08_12:D059226|SNOMEDCT_US_2016_09_01:48429009
C0423610	Female genital pain	Female genital pain|Genital pain female|Pain in female genitalia|Pain in female genitalia (finding)|Pain;genital;F|Painful genitalia (female)|female genital pain|female genitalpain|female genitals pain|genital organs; pain, female|pain; female genital organs|pain; genital organs, female		SNOMEDCT_US_2016_09_01:139426008|SNOMEDCT_US_2016_09_01:162143008|SNOMEDCT_US_2016_09_01:247343004
C4038703	Spasmodic torticollis due to infection	Spasmodic torticollis due to infection|Spasmodic torticollis due to infection (disorder)		SNOMEDCT_US_2016_09_01:712647003
C2109098	Joint swelling occurs in only one joint	joint swelling occurs in only one joint|joint swelling occurs in only one joint (symptom)|monoarticular joint swelling		
C2127162	Macropsia in one eye	macropsia in one eye|macropsia in one eye (symptom)|objects appear larger than normal in one eye|unilateral macropsia		
C2012498	Gradual onset of hip joint pain	gradual onset of hip joint pain|gradual onset of hip joint pain (symptom)		
C2126119	Pain around the right ear	pain around the right ear|right periauricular pain|right-sided periauricular pain|right-sided periauricular pain (symptom)		
C0235304	Indigestion acid	ACID INDIGESTION|Acid indigestion|INDIGESTION ACID|Indigestion acid|acid indigestion|indigestion acid		SO:SYMP_0000439
C2220028	Burning headache	burning headache|burning headache (symptom)|headache which has a burning sensation		
C2185956	Lower back pain worse with coughing or sneezing	lower back pain worse with coughing or sneezing|lower back pain worsens with coughing or sneezing|lower back pain worsens with coughing or sneezing (symptom)		
C2896441	Pain in right lower limb nos	Pain in right lower limb NOS		ICD10CM_2017:M79.604
C1404887	Nervous; problem	nervous; problem|problem; nervous		
C2108997	Unrelenting joint pain in thumb of right hand	unrelenting joint pain in thumb of right hand|unrelenting joint pain in thumb of right hand (symptom)|unrelenting right thumb joint pain		
C2128893	Bone pain of distal phalanx of ring finger of left hand	bone pain of distal phalanx of ring finger of left hand|bone pain of distal phalanx of ring finger of left hand (symptom)|bone pain, left ring finger distal phalanx		
C2128138	Dip joint of left little toe feels 'out of place'	DIP joint of left little toe feels 'out of place'|distal interphalangeal joint of left little toe feels 'out of place'|distal interphalangeal joint of left little toe feels 'out of place' (symptom)|left little toe DIP feels 'out of place'|the left little toe DIP feels 'out of place'		
C2037155	Sudden onset of cold hand	sudden onset of cold hand|sudden onset of cold hand (symptom)		
C2108879	Joint pain in right great toe worsens	joint pain in right great toe worsens|joint pain in right great toe worsens (symptom)|right great toe joint pain worsens		
C0423813	Crack nail	Claw split|Cracked;nail(s)|Nail splitting|Onychoschisis|Splits in nails|Splits in nails (disorder)|Splits in nails (finding)|Splitting nails|Splitting;nail(s)|crack nail|crack nails|cracked nail|cracked nail(s)|cracked nails|cracking nail|cracking nails|nail crack|nail splits|nail splitting|nails split|nails splitting|split nail|splitting nail|splitting nails		SNOMEDCT_US_2016_09_01:201125004|SNOMEDCT_US_2016_09_01:247493001
C0838814	Other dorsalgia, thoracolumbar region	Other dorsalgia, thoracolumbar region		
C1409712	Sensitive; abdomen	sensitive; abdomen		
C2032589	Lateral plantar left forefoot pain	lateral plantar left forefoot pain|pain on bottom of lateral aspect of left forefoot|pain on bottom of lateral aspect of left forefoot (symptom)		
