Symptom_CUI	Symptom_Name	Alias	Definition	External_Ids
C0027769	Tension nervous	Nerves|"Nerves" - nervousness|Feeling of Nervousness|NERVOUS TENSION|NERVOUSNESS|Nerves|Nervous|Nervous tension|Nervously anxious|Nervousness|Nervousness (finding)|Nervy|TENSION NERVOUS|Tension - nervous|Tension nervous|["Nerves"] or [nervousness] or [nervous tension]|["Nerves"] or [nervousness] or [nervous tension] (finding)|[D]Nerves|[D]Nervous tension|[D]Nervousness|[D]Nervousness (context-dependent category)|[D]Nervousness (situation)|feeling jittery|nervi|nervous|nervous tension|nervous; tension|nervousness|nervy|tension; nervous	NCI2016_02D:An uneasy psychological state; the anxious feeling you have when you have the jitters.|	ICD10CM_2017:R45.0|ICD9CM_2014:799.21|MSH2017_2016_08_12:D001007|SNOMEDCT_US_2016_09_01:13448004|SNOMEDCT_US_2016_09_01:139475009|SNOMEDCT_US_2016_09_01:158735002|SNOMEDCT_US_2016_09_01:162191009|SNOMEDCT_US_2016_09_01:207556008
C0856965	Generalised tetany	Generalised tetany|Generalized tetany		
C3544134	Genital hyperaesthesia	Genital hyperaesthesia|Genital hyperesthesia		
C2017005	Soft tissue pain of middle phalanx of middle finger of left hand	soft tissue pain of middle phalanx of middle finger of left hand|soft tissue pain of middle phalanx of middle finger of left hand (symptom)		
C2017021	Soft tissue pain of middle phalanx of index finger of right hand	soft tissue pain of middle phalanx of index finger of right hand|soft tissue pain of middle phalanx of index finger of right hand (symptom)		
C2143940	Discharge of pus from right eye	discharge of pus from right eye|purulent discharge from right eye|purulent discharge from right eye (symptom)|purulent discharge from the right eye|purulent eye discharge right		
C2034375	Child's appetite has decreased	child's appetite has decreased|parental concerns child's appetite has decreased|parental concerns child's appetite has decreased (symptom)		
C2128620	Foot appears deformed	foot appears deformed|foot appears deformed (symptom)		
C2127761	Fingers of left hand 'catch' during movement	fingers of left hand 'catch' during movement|fingers of left hand 'catch' during movement (symptom)		
C2128865	Bone pain of middle phalanx of index finger of right hand	bone pain of middle phalanx of index finger of right hand|bone pain of middle phalanx of index finger of right hand (symptom)|bone pain, right index finger middle phalanx		
C0858935	Post anaesthetic sleep	Post anaesthetic sleep|Post anesthetic sleep|Postanaesthetic sleep		
C0232168	Cardiac dyskinesia	Cardiac dyskinesia|Cardiac dyskinesia (finding)|Ventricular dyskinesia		SNOMEDCT_US_2016_09_01:25437005
C0795701	Neck spasm	CERVICAL SPASM|Cervical spasm|NECK SPASM|Neck cramps|Spasm;cervical|cervical spasm|cramp neck|cramping neck|neck cramp|neck cramps|neck spasm|neck spasms|spasm neck		
C0750406	Weakness transient	WEAKNESS TRANSIENT		
C2108953	Joint pain in thumb of left hand	joint pain in thumb of left hand|joint pain in thumb of left hand (symptom)		
C2233610	Flank pain lessened by breathing deeply	flank pain lessened by breathing deeply|flank pain lessened by breathing deeply (symptom)|flank pain relieved by breathing deeply		
C2219924	Feeling persecuted, expecting trickery	feeling persecuted, expecting trickery|feeling persecuted, expecting trickery (symptom)|paranoid ideations with expectation of trickery		
C1705500	Flasher - visual manifestation	Flasher|Flasher - visual manifestation|Flashers|Flashing lights|Photopsia	NCI2016_02D:The perception of sudden or brief bursts (flashes) of light.|NCI2016_CTCAE_1602D:A disorder characterized by a sudden or brief burst of light.|NCI2016_FDA_1602D:A sudden or brief burst of light.|	
C2183449	Difficulty swallowing very hot or cold foods	difficulty swallowing very hot or cold foods|difficulty swallowing very hot or cold foods (symptom)|dysphagia of very hot or cold foods|dysphagia with very hot or cold foods		
C0920289	Moving slow	SLUGGISHNESS|Slow to move|Sluggishness|Sluggishness (finding)|Sluggishness -RETIRED-|moving slow|sluggishness		SNOMEDCT_US_2016_09_01:112085007|SNOMEDCT_US_2016_09_01:123087006|SNOMEDCT_US_2016_09_01:399317006
C0877549	Pulmonary suppuration	Pulmonary suppuration|pulmonary suppuration|pulmonary suppurations		
C2127836	Distal interphalangeal joint of right middle finger feels loose	distal interphalangeal joint of right middle finger feels loose|distal interphalangeal joint of right middle finger feels loose (symptom)|right middle finger DIP feels loose		
C0518914	Abdomen bruit systolic epigastrium	Abdomen Bruit Systolic Epigastrium		
C2127442	Right facial pain	right facial pain|right-sided facial pain|right-sided facial pain (symptom)		
C1386209	Breath; fetid	breath; fetid|fetid; breath		
C0231817	Inspiratory crepitation	Inspiratory crepitation|Inspiratory crepitation (finding)		SNOMEDCT_US_2016_09_01:61343002
C1963180	Neck pain adverse event	Neck Pain Adverse Event|Neck pain		SO:SYMP_0000829|CSSO:CSSO_000169
C2047953	Illusions recurring without a stimulus	flashbacks|illusions recurring without a stimulus|illusions recurring without a stimulus (flashbacks)|illusions recurring without a stimulus (symptom)		
C2127981	Snapping sensation in right great toe	snapping sensation in right great toe|snapping sensation in right great toe (symptom)		
C2128606	Arch seems lower in both feet	arch seems lower in both feet|arch seems lower in both feet (symptom)|the arches of both feet seem lower		
C2016959	Soft tissue pain in medial aspect of left fourth toe	soft tissue pain in medial aspect of left fourth toe|soft tissue pain in medial aspect of left fourth toe (symptom)|soft tissue pain in the medial left fourth toe		
C2127766	Left little finger 'catches' during movement	left little finger 'catches' during movement|left little finger 'catches' during movement (symptom)|the left little finger 'catches' during movement		
C2016928	Pain immediately above the right knee	pain immediately above the right knee|soft tissue pain immediately above right knee|soft tissue pain immediately above right knee (symptom)		
C0476211	Dysfunctions associated with sleep stages	Sleep dysfunct./sleep stage|Sleep dysfunction with sleep stage disturbance|Sleep dysfunction with sleep stage disturbance (disorder)|[D]Sleep dysfunct./sleep stage|[D]Sleep dysfunction with sleep stage disturbance|[D]Sleep dysfunction with sleep stage disturbance (context-dependent category)|[D]Sleep dysfunction with sleep stage disturbance (situation)|dysfunctions associated with sleep stages|dysfunctions associated with sleep stages (diagnosis)		SNOMEDCT_US_2016_09_01:158158007|SNOMEDCT_US_2016_09_01:206755003|SNOMEDCT_US_2016_09_01:441877007|SO:SYMP_0000580
C2034439	Baby is suddenly reddish blue on the bottom and pale on top	baby is suddenly reddish blue on the bottom and pale on top|parental observation baby suddenly red-blue on bottom, pale on top|parental observation baby suddenly red-blue on bottom, pale on top (symptom)		
C2108847	Joint pain in left great toe worsens	joint pain in left great toe worsens|joint pain in left great toe worsens (symptom)|left great toe joint pain worsens		
C0478659	Pain; abdominal: pelvic or perineal	Pelvic and perineal pain|Pelvic and perineal pain (finding)|[D]Pelvic and perineal pain|[D]Pelvic and perineal pain (context-dependent category)|[D]Pelvic and perineal pain (situation)|pain; abdominal: pelvic or perineal		ICD10CM_2017:R10.2|SNOMEDCT_US_2016_09_01:207222001|SNOMEDCT_US_2016_09_01:274671002
C0577595	Swelling of musculoskeletal structure	Swelling of musculoskeletal structure|Swelling of musculoskeletal structure (finding)		SNOMEDCT_US_2016_09_01:300887003
C2077358	Sweater finger sign of middle finger of left hand	sweater finger sign of middle finger of left hand|sweater finger sign of middle finger of left hand (physical finding)		
C0575045	Tendon sheath effusion	Tendon sheath effusion|Tendon sheath effusion (finding)		SNOMEDCT_US_2016_09_01:298267006
C4281048	Arthralgia of both lower legs	Arthralgia of both lower legs|Pain of joint of bilateral lower legs|Pain of joint of bilateral lower legs (finding)|Pain of joint of both lower legs		SNOMEDCT_US_2016_09_01:15743161000119106
C2017235	Soft tissue swelling of left little toe with bluish discoloration	soft tissue swelling L little toe w/ bluish discoloration|soft tissue swelling of left little toe with bluish discoloration|soft tissue swelling of left little toe with bluish discoloration (symptom)		
